요구사항ID,LV1,LV2,LV3,요구사항명,상세 요구사항 정의,우선순위,참조,대상 시스템,,,작성자,작성일,변경일,변경구분,개발 수용여부,화면설계서 pg
,,,,,,,PC,MO웹,MO앱,어드민,,,,
REQ_AUTH_001,인증,소셜 로그인,카카오 OAuth 로그인,카카오 OAuth를 통한 사용자 인증 및 회원가입,"- 카카오 로그인 버튼 클릭 시 카카오 OAuth 인증 페이지로 리다이렉트<br>- 카카오 계정으로 로그인 및 동의<br>- OAuth 콜백으로 인증 코드 수신<br>- Supabase Auth를 통해 사용자 정보 조회/생성<br>- 사용자 정보를 localStorage에 저장<br>- returnUrl이 있으면 해당 페이지로, 없으면 프로젝트 목록 또는 배지 선택 페이지로 이동<br>- 에러 발생 시 에러 메시지 표시 및 로그인 페이지 유지",상,-,O,O,-,-,시스템,2025-01-XX,2025-01-XX,신규,Y,
REQ_AUTH_002,인증,세션 관리,로그인 상태 확인 및 유지,"- 로그인한 사용자의 정보를 localStorage에 저장<br>- 페이지 이동 시 자동으로 로그인 상태 확인<br>- 로그인하지 않은 사용자는 보호된 페이지 접근 시 로그인 페이지로 리다이렉트<br>- 로그인 상태는 Supabase Auth와 동기화<br>- 세션 만료 시 자동 로그아웃 처리",상,-,O,O,-,-,시스템,2025-01-XX,2025-01-XX,신규,Y,
REQ_AUTH_003,인증,로그아웃,사용자 로그아웃,"- 로그아웃 버튼 클릭 시 Supabase Auth 세션 종료<br>- localStorage의 사용자 정보 삭제<br>- 로그인 페이지로 리다이렉트",중,-,O,O,-,-,시스템,2025-01-XX,2025-01-XX,신규,Y,
REQ_PROJECT_001,프로젝트 관리,프로젝트 조회,프로젝트 목록 조회,"- 로그인한 사용자의 모든 프로젝트 조회<br>- 프로젝트 카드 형식으로 표시 (프로젝트명, 설명, 노드 개수, 최근 수정일)<br>- 즐겨찾기 프로젝트 우선 표시<br>- 최근 수정일 기준 내림차순 정렬<br>- 프로젝트 클릭 시 해당 프로젝트의 마인드맵 편집 페이지로 이동",상,-,O,O,-,-,시스템,2025-01-XX,2025-01-XX,신규,Y,
REQ_PROJECT_002,프로젝트 관리,프로젝트 생성,새 마인드맵 프로젝트 생성,"- 프로젝트 목록에서 '새 프로젝트' 버튼 클릭<br>- 배지 선택 페이지로 이동<br>- 배지 선택 후 프로젝트 생성 (REQ_PROJECT_002_001 참조)",상,-,O,O,-,-,시스템,2025-01-XX,2025-01-XX,신규,Y,
REQ_PROJECT_002_001,프로젝트 관리,프로젝트 생성,배지 선택,경험 유형 배지 선택,"- 로그인 확인 후 배지 선택 페이지 진입<br>- 8가지 배지 중 원하는 배지 선택 (인턴, 학업, 동아리, 프로젝트, 아르바이트, 봉사활동, 공모전, 기타)<br>- 여러 개 배지 선택 가능 (최소 1개 이상 필수)<br>- '기타' 배지 선택 시 커스텀 라벨 입력 가능<br>- 선택한 배지 정보를 시각적으로 표시 (체크 표시)<br>- 완료 버튼 클릭 시 프로젝트 초기화 진행 (REQ_PROJECT_002_002 참조)",상,REQ_PROJECT_002,O,O,-,-,시스템,2025-01-XX,2025-01-XX,신규,Y,
REQ_PROJECT_002_002,프로젝트 관리,프로젝트 생성,프로젝트 초기화,마인드맵 프로젝트 자동 생성,"- 배지 선택 완료 시 UUID 형식의 프로젝트 ID 생성<br>- 프로젝트명 자동 생성: '{사용자명}의 경험 맵'<br>- 중앙 노드 생성 (사용자명 또는 '나'로 설정)<br>- 선택한 배지 수만큼 대분류 노드 생성 (원형 배치)<br>- 각 배지 노드는 중앙 노드의 자식으로 연결<br>- 프로젝트 정보를 Supabase DB에 저장<br>- 마인드맵 편집 페이지로 이동",상,REQ_PROJECT_002_001,O,O,-,-,시스템,2025-01-XX,2025-01-XX,신규,Y,
REQ_PROJECT_003,프로젝트 관리,프로젝트 수정,프로젝트 정보 수정,"- 프로젝트 설정에서 프로젝트명, 설명 수정 가능<br>- 수정 내용을 Supabase DB에 저장<br>- 변경 사항 즉시 반영",중,-,O,O,-,-,시스템,2025-01-XX,2025-01-XX,신규,Y,
REQ_PROJECT_004,프로젝트 관리,프로젝트 삭제,마인드맵 프로젝트 삭제,"- 프로젝트 설정에서 삭제 버튼 클릭<br>- 삭제 확인 다이얼로그 표시<br>- 확인 시 프로젝트 및 관련 노드, STAR 에셋 모두 삭제<br>- 프로젝트 목록 페이지로 이동",중,-,O,O,-,-,시스템,2025-01-XX,2025-01-XX,신규,Y,
